name,location,scale,inquiry,inquiry_call
가양동 다우갤러리 휴리움,대전광역시 동구 가양동 53-6번지 일원,63,사업주체 또는 분양사무실로 문의,1600-0067
강동 중앙하이츠 시티,서울특별시 강동구 길동 415-5번지,36,사업주체 또는 분양사무실로 문의,1877-6875
검단신도시 금강펜테리움 3차 센트럴파크(2차),인천광역시 서구 불로동 검단신도시 AA23BL,1,,
광주 서구 광천동 PH543,광주광역시 서구 광천동 54-3번지 일원,99,사업주체 또는 분양사무실로 문의,1670-5430
남구로역 동일 센타시아(임의공급) 3차,서울특별시 구로구 가리봉동 113-1번지 일원,12,,
더샵 신문그리니티,경상남도 김해시 신문동 신문1지구 A7-1블럭 일원,1146,사업주체 또는 분양사무실로 문의,1661-3363
롯데캐슬 이스트폴,서울특별시 광진구 자양동 680-63번지 일원,631,사업주체 또는 분양사무실로 문의,1533-1616
부천 원종 길성그랑프리텔 무순위(사후),경기도 부천시 원종동 284-3 길성그랑프리텔,9,,
부천 원종 아이원시티(4차),경기도 부천시 소사로748번길 57-14(원종동),7,,
북천안자이 포레스트(2차),충청남도 천안시 서북구 성거읍 성거길 20 (북천안 자이 포레스트),264,사업주체 또는 분양사무실로 문의,1644-8660
서울대벤처타운역 푸르지오,서울특별시 관악구 신림동 316-62번지,182,사업주체 또는 분양사무실로 문의,1599-4948
순천 한양수자인 디에스티지,전라남도 순천시 용당동 산 175번지,2,사업주체 또는 분양사무실로 문의,1533-7555
시흥 롯데캐슬 시그니처 1블록,경기도 시흥시 은행동 248-30 일원,1230,사업주체 또는 분양사무실로 문의,1660-2133
시흥 롯데캐슬 시그니처 2블록,경기도 시흥시 은행동 288-1 일원,903,사업주체 또는 분양사무실로 문의,1660-2133
심곡본동 한울에이치밸리움 디그니어스 (8차),경기도 부천시 심곡본동 660-2,3,,
에코시티 한양수자인 디에스틴 주상복합,전라북도 전주시 덕진구 송천동 2가 1315번지 (전주에코시티 주상3BL),268,사업주체 또는 분양사무실로 문의,1644-1007
용산 호반써밋 에이디션,서울특별시 용산구 한강로 2가 210-1번지 일원,90,사업주체 또는 분양사무실로 문의,1670-6207
월명공원 한라비발디 온더파크,충청북도 청주시 흥덕구 봉명동 산26번지 일원,874,사업주체 또는 분양사무실로 문의,1800-9118
이안 시그니처 역곡(임의공급),경기도 부천시 괴안동 117번지,19,,
인천 연희공원 호반써밋 파크에디션,인천광역시 서구 연희동 166-10번지(외 70필지) 일원,1370,사업주체 또는 분양사무실로 문의,1899-5334
주안 극동스타클래스 더 로얄(3차),인천광역시 미추홀구 주안동 882-1번지,4,,
청량리 롯데캐슬 하이루체,서울특별시 동대문구 청량리동 199 일원,173,사업주체 또는 분양사무실로 문의,1899-9882
춘천 레이크시티 아이파크,강원특별자치도 춘천시 삼천동 22-2번지 일원,874,사업주체 또는 분양사무실로 문의,1577-7222
춘천 하우스디 시그니처 98(임의공급 1차),강원도 춘천시 효자동 302-14번지 일원,38,,
파주 운정신도시 A39BL 호반써밋(임의공급 2차),경기도 파주시 운정3지구 A39블록,13,,
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),경기도 평택시 고덕국제화계획지구 A49블록,282,사업주체 또는 분양사무실로 문의,1670-5191
평택 브레인시티 2BL 대광로제비앙 모아엘가,경기도 평택시 장안동 평택브레인시티 일반산업단지 공동2BL,1700,사업주체 또는 분양사무실로 문의,1811-8500
포레나 미아(무순위 7차),서울특별시 강북구 솔샘로 265일대(미아동 705-1일원),1,,
포레나 미아(임의공급 3차),서울특별시 강북구 솔샘로 265일대(미아동 705-1일원),62,,
해운대 경동리인뷰 2차,부산광역시 해운대구 우동 548-38번지 일원,632,사업주체 또는 분양사무실로 문의,1577-1542
현대 프라힐스 소사역 더프라임(임의공급 2차),경기도 부천시 소사본동 70-7외 6필지,5,,
현대 프라힐스 소사역 더프라임(임의공급 3차),경기도 부천시 소사본동 70-7외 6필지,3,,
화곡 더리브 스카이 주상복합아파트 (임의공급 2차),서울특별시 강서구 화곡동 370-76 외 6필지,25,,
효성해링턴 플레이스 제주,제주특별자치도 제주시 애월읍 하귀1리 21-2번지 일원,425,사업주체 또는 분양사무실로 문의,1811-5678
