name,executing_agency,construction_company,business_call
가양동 다우갤러리 휴리움,동신아파트주택재건축정비사업조합,다우건설 주식회사,1600-0067
강동 중앙하이츠 시티,한국자산신탁(주),중앙건설 주식회사,1877-6875
광주 서구 광천동 PH543,주식회사 하나자산신탁,현대엔지니어링(주),1670-5430
더샵 신문그리니티,(주)무궁화신탁,(주)포스코이앤씨,1661-3363
부평 SK VIEW 해모로,부개서초교북측구역주택재개발정비사업조합,,1566-5807
북천안자이 포레스트(2차),지에스건설(주),지에스건설(주),1644-8660
서울대벤처타운역 푸르지오,신림3재정비촉진구역주택재개발정비사업조합,(주)대우건설,1599-4948
순천 한양수자인 디에스티지,우리자산신탁 주식회사,주식회사 한양,1533-7555
에코시티 한양수자인 디에스틴 주상복합,케이비부동산신탁주식회사,주식회사 한양,1644-1007
용산 호반써밋 에이디션,국제빌딩주변 제5구역 도시정비형 재개발사업조합,(주)호반건설,1670-6207
용산 호반써밋 에이디션(오피스텔),국제빌딩주변 제5구역 도시정비형 재개발사업조합,,1670-6207
월명공원 한라비발디 온더파크,주식회사 코람코자산신탁,에이치엘디앤아이한라 주식회사,1800-9118
인천 연희공원 호반써밋 파크에디션,연희파크 주식회사,(주)호반건설,1899-5334
청량리 롯데캐슬 하이루체,청량리제7구역주택재개발정비사업조합,롯데건설(주),1899-9882
춘천 레이크시티 아이파크,주식회사 하나자산신탁,에이치디씨현대산업개발 주식회사,1577-7222
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),주식회사 스카이리빙,(주)호반건설,1670-5191
평택 브레인시티 2BL 대광로제비앙 모아엘가,주식회사 포레지아,"(주)로제비앙건설, 혜림건설(주)",1811-8500
해운대 경동리인뷰 2차,우리자산신탁 주식회사,경동건설(주),1577-1542
효성해링턴 플레이스 제주,신한자산신탁 주식회사,진흥기업(주),1811-5678
