name,housing_type,identification_model,residence_type,district,supply_area,standard_unit,specific_unit,multi_child,newlywed_couple,first_time,youth,sup_elder,elder,institute_recommend,moved_institute,ect,support_amount,second_priority_deposit,application_deposit
e편한세상 순천 어반타워(계약취소주택),084.9400B,2023930028(02),민영,,110.344,4,0,,,,,,,,,,39000,,
e편한세상 순천 어반타워(계약취소주택),084.9880C,2023930028(03),민영,,111.901,1,0,,,,,,,,,,39800,,
e편한세상 순천 어반타워(계약취소주택),084.9938A,2023930028(01),민영,,110.371,8,0,,,,,,,,,,39800,,
e편한세상 순천 어반타워(계약취소주택),112.7130B,2023930028(04),민영,,140.269,1,0,,,,,,,,,,52800,,
e편한세상 원주 프리모원(1회차),059.8448B,2023000284(02),민영,,81.8008,25,24,5,9,4,0,1,,5,0,0,33410,,
e편한세상 원주 프리모원(1회차),059.9875A,2023000284(01),민영,,81.8817,43,45,9,16,8,0,3,,9,0,0,33450,,
e편한세상 원주 프리모원(1회차),074.5117A,2023000284(03),민영,,101.055,97,94,19,34,17,0,5,,19,0,0,38140,,
e편한세상 원주 프리모원(1회차),074.9929B,2023000284(04),민영,,103.346,11,11,2,4,2,0,1,,2,0,0,38140,,
가양동 다우갤러리 휴리움,059.7520D,2023000336(04),민영,,81.478,8,0,,,,,,,,,,34600,,
가양동 다우갤러리 휴리움,059.7606B,2023000336(02),민영,,81.9796,14,0,,,,,,,,,,34980,,
가양동 다우갤러리 휴리움,059.7999C,2023000336(03),민영,,82.3351,6,0,,,,,,,,,,34800,,
가양동 다우갤러리 휴리움,059.9197A,2023000336(01),민영,,81.5218,12,0,,,,,,,,,,34610,,
가양동 다우갤러리 휴리움,068.2770A,2023000336(05),민영,,92.8975,6,0,,,,,,,,,,40140,,
가양동 다우갤러리 휴리움,068.2770B,2023000336(06),민영,,92.5611,5,0,,,,,,,,,,39900,,
가양동 다우갤러리 휴리움,068.2770C,2023000336(07),민영,,92.8975,7,0,,,,,,,,,,39900,,
가양동 다우갤러리 휴리움,078.2112,2023000336(08),민영,,106.812,5,0,,,,,,,,,,44870,,
강동 중앙하이츠 시티,044.0651C,2023000343(01),민영,,53.4593,5,1,0,0,0,0,1,,0,0,0,75580,,
강동 중앙하이츠 시티,044.2781G,2023000343(02),민영,,53.7176,4,0,0,0,0,0,0,,0,0,0,77020,,
강동 중앙하이츠 시티,046.6786A,2023000343(03),민영,,56.6299,6,2,0,1,0,0,0,,1,0,0,82040,,
강동 중앙하이츠 시티,046.6786B,2023000343(04),민영,,56.6299,2,1,0,0,0,0,0,,1,0,0,72020,,
강동 중앙하이츠 시티,049.8697I,2023000343(05),민영,,60.5012,6,1,0,0,0,0,0,,1,0,0,78000,,
강동 중앙하이츠 시티,049.8917K,2023000343(06),민영,,60.528,5,1,0,0,1,0,0,,0,0,0,87540,,
강동 중앙하이츠 시티,049.8917L,2023000343(07),민영,,60.528,2,0,0,0,0,0,0,,0,0,0,76220,,
검단신도시 금강펜테리움 3차 센트럴파크(2차),084.6871B,,,,,1,,,,,,,,,,,,,
광명 센트럴 아이파크,039.9390,2023000303(01),민영,,61.807,54,52,0,19,20,0,3,,10,0,0,51800,,
