name,supply_type,recruit_date,sub_specific_region_start,sub_specific_region_end,sub_other_region_start,sub_other_region_end,sub_all_region_start,sub_all_region_end,reception_venue,winner_announce_date,winner_announce_link,contract_date_start,contract_date_end,estimated_move_in_date
e편한세상 순천 어반타워(계약취소주택),일반공급,2023-06-28 00:00:00,,,,,2023-07-03 00:00:00,2023-07-03 00:00:00,인터넷,2023-07-06 00:00:00,,2023-07-13 00:00:00,2023-07-14 00:00:00,2023-07-01 00:00:00
e편한세상 순천 어반타워(계약취소주택),특별공급,2023-06-28 00:00:00,,,,,,,인터넷,2023-07-06 00:00:00,,2023-07-13 00:00:00,2023-07-14 00:00:00,2023-07-01 00:00:00
e편한세상 원주 프리모원(1회차),1순위,2023-07-13 00:00:00,2023-07-25 00:00:00,2023-07-25 00:00:00,2023-07-25 00:00:00,2023-07-25 00:00:00,,,인터넷,2023-08-02 00:00:00,https://www.elife.co.kr ,2023-08-16 00:00:00,2023-08-18 00:00:00,2025-11-01 00:00:00
e편한세상 원주 프리모원(1회차),2순위,2023-07-13 00:00:00,2023-07-26 00:00:00,2023-07-26 00:00:00,2023-07-26 00:00:00,2023-07-26 00:00:00,,,인터넷,2023-08-02 00:00:00,https://www.elife.co.kr ,2023-08-16 00:00:00,2023-08-18 00:00:00,2025-11-01 00:00:00
e편한세상 원주 프리모원(1회차),특별공급,2023-07-13 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,,,인터넷,2023-08-02 00:00:00,https://www.elife.co.kr ,2023-08-16 00:00:00,2023-08-18 00:00:00,2025-11-01 00:00:00
가양동 다우갤러리 휴리움,1순위,2023-07-07 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,,,인터넷,2023-07-25 00:00:00,http://www.gy-huerium.com ,2023-08-07 00:00:00,2023-08-09 00:00:00,2026-03-01 00:00:00
가양동 다우갤러리 휴리움,2순위,2023-07-07 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,,,인터넷,2023-07-25 00:00:00,http://www.gy-huerium.com ,2023-08-07 00:00:00,2023-08-09 00:00:00,2026-03-01 00:00:00
강동 중앙하이츠 시티,1순위,2023-07-14 00:00:00,2023-07-25 00:00:00,2023-07-25 00:00:00,2023-07-25 00:00:00,2023-07-25 00:00:00,,,인터넷,2023-08-01 00:00:00,http://www.강동중앙하이츠.com ,2023-08-14 00:00:00,2023-08-17 00:00:00,2024-04-01 00:00:00
강동 중앙하이츠 시티,2순위,2023-07-14 00:00:00,2023-07-26 00:00:00,2023-07-26 00:00:00,2023-07-26 00:00:00,2023-07-26 00:00:00,,,인터넷,2023-08-01 00:00:00,http://www.강동중앙하이츠.com ,2023-08-14 00:00:00,2023-08-17 00:00:00,2024-04-01 00:00:00
강동 중앙하이츠 시티,특별공급,2023-07-14 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,2023-07-24 00:00:00,,,인터넷,2023-08-01 00:00:00,http://www.강동중앙하이츠.com ,2023-08-14 00:00:00,2023-08-17 00:00:00,2024-04-01 00:00:00
